,10_6_5_11,9_6_5_11,purep53,JMS8-2,JMS8-3,JMS8-4,JMS8-5,JMS9-P7c,JMS9-P8c
497097,1,2,342,526,3,3,535,2,0
100503874,0,0,5,6,0,0,5,0,0
100038431,0,0,0,0,0,0,1,0,0
19888,0,1,0,0,17,2,0,1,0
20671,1,1,76,40,33,14,98,18,8
27395,431,771,1368,1268,1564,769,818,468,342
18777,768,1722,2517,1923,3865,1888,1830,1246,693
100503730,4,8,6,2,11,11,3,9,2
21399,810,977,2472,1870,2251,1716,1932,756,619
58175,452,358,17,14,622,571,12,203,224
108664,1716,2678,2097,2071,5499,3630,1731,1715,1251
18387,0,0,0,0,0,0,0,0,0
226304,0,0,0,0,0,0,0,0,0
12421,3451,2699,3399,2716,5233,6280,3647,1866,2122
620393,0,0,2,3,0,0,0,0,0
240690,0,0,0,1,0,0,0,0,0
319263,2026,2033,3920,2715,3873,3688,3593,1609,1348
71096,0,0,1,5,0,0,4,0,0
59014,956,985,5497,4214,3462,2933,5336,649,731
76187,54,76,46,32,148,126,59,44,27
72481,16,28,12,12,67,24,14,18,11
76982,21,9,21,44,35,34,29,8,15
17864,194,166,1007,862,632,594,901,100,131
70675,2390,2012,3500,3020,5412,4404,4173,1585,1522
73331,3,2,4,1,1,5,2,3,0
170755,87,323,734,565,721,249,666,267,113
620986,71,194,383,206,307,110,206,112,50
240697,0,0,9,8,3,1,7,0,1
73824,289,487,824,565,709,517,662,335,271
266793,4,6,54,10,18,19,43,9,6
100038398,16,25,67,92,51,45,55,12,5
100039596,3,3,9,12,7,0,8,2,3
69312,1,0,2,0,5,0,0,0,2
26754,1804,2499,4073,3409,5545,3344,3020,1731,1264
211660,745,826,1373,1008,1740,2137,1695,759,624
211673,6696,7131,11369,7972,17002,15128,11439,4956,4260
329093,2,0,802,553,0,3,616,0,1
109294,41,94,333,240,368,292,695,106,68
320492,0,2,45,40,5,0,40,0,1
329096,0,0,0,0,0,0,0,0,0
240725,106,103,2214,2008,152,232,2997,48,52
240726,12,6,22,34,22,21,47,6,4
383491,12,6,13,30,15,13,14,1,2
17978,4445,5657,6923,6358,12641,7967,7380,3986,2972
72265,5442,5371,6222,5709,13524,13690,6145,2981,3710
212442,334,890,379,354,1607,848,277,719,318
381246,1,1,0,0,1,1,0,0,2
433273,0,5,19,3,4,1,3,0,0
14048,1,1,1139,1001,8,24,948,9,10
17681,26,223,7,2,210,40,8,112,31
277328,0,0,0,0,0,0,0,0,0
98741,0,0,1,0,0,1,4,0,0
21749,266,375,822,520,633,445,540,364,217
226866,8,19,4535,3779,35,53,3958,15,10
665434,2,5,9,1,0,0,3,0,0
75799,0,0,6,10,1,0,10,0,0
19989,17590,16480,35401,24296,30991,24258,25488,7619,8469
98711,1514,1605,3883,4272,2751,2818,2650,718,646
29819,770,751,1586,1236,1665,1275,1343,422,478
66799,525,637,1749,1452,1584,1184,1771,449,375
67923,876,1449,4133,3742,3515,2454,4085,1289,847
329101,0,1,3,0,1,0,2,0,1
70397,376,680,1334,1199,1295,606,1097,416,296
17087,121,107,67,57,246,311,85,74,89
57339,201,70,407,339,159,293,334,23,62
14545,6,1,9,8,4,12,7,1,1
94227,34,36,2260,746,32,193,2014,79,49
83691,51,51,3951,2882,38,195,3463,17,43
78081,0,0,0,0,0,0,0,0,0
654454,1,0,0,0,0,0,0,0,0
654460,0,0,0,0,0,0,0,0,0
77673,0,0,0,0,0,0,0,0,0
654464,0,0,0,0,0,0,0,0,0
226896,0,0,0,0,1,0,0,0,0
21419,2049,3096,4580,4724,6743,2853,3424,2921,1635
241035,2,5,1,0,49,8,1,8,6
75028,0,0,0,0,0,0,0,0,0
387202,0,0,0,0,0,0,0,0,0
723817,0,0,0,0,0,0,0,0,0
16171,0,0,0,0,0,0,0,0,0
257630,0,3,1,2,2,0,1,0,0
17215,543,993,5818,5171,2282,954,2878,350,244
77741,1,1,0,1,0,0,0,2,0
74229,42,109,337,305,205,62,412,93,33
71877,41,74,206,241,166,97,236,53,41
170829,228,141,343,382,326,304,332,70,146
75712,40,91,168,191,194,70,151,47,25
14859,11,8,9,7,14,11,8,8,6
241041,0,0,0,1,0,0,0,0,0
368204,0,0,0,2,0,0,2,0,0
433278,0,0,0,2,1,0,1,0,0
98582,0,0,3,8,0,0,9,0,0
226922,3,3,2434,2530,14,32,2680,7,5
116837,1,0,28,17,0,1,17,0,2
66755,2,1,0,0,1,1,0,0,0
387225,0,0,0,0,0,0,0,0,0
723964,1,2,2,1,0,4,1,1,2
70155,5413,1212,1081,907,4696,9303,770,610,3743
100503399,10,0,0,0,5,11,0,0,3
280645,131,110,181,82,162,224,276,103,99
98366,604,839,2184,2182,2202,1500,2226,641,496
68002,64,275,322,303,516,144,186,177,77
68187,898,1106,2803,1809,2213,1974,3089,891,686
12839,4396,1043,4140,2407,4711,8704,3449,405,2175
12823,11,3,5,6,4,19,8,2,6
68421,2921,2754,2736,3238,6770,6069,3013,1762,1705
210933,2,0,0,1,1,3,0,0,0
100504323,0,0,0,0,0,0,0,0,0
