,rownames,ENTREZID,SYMBOL,TXCHROM
497097,1,497097,Xkr4,chr1
100503874,2,100503874,Gm19938,NA
100038431,3,100038431,Gm10568,NA
19888,4,19888,Rp1,chr1
20671,5,20671,Sox17,chr1
27395,6,27395,Mrpl15,chr1
18777,7,18777,Lypla1,chr1
100503730,8,100503730,Gm19860,NA
21399,9,21399,Tcea1,chr1
58175,10,58175,Rgs20,chr1
108664,11,108664,Atp6v1h,chr1
18387,12,18387,Oprk1,chr1
226304,13,226304,Npbwr1,chr1
12421,14,12421,Rb1cc1,chr1
620393,15,620393,Alkal1,chr1
240690,16,240690,St18,chr1
319263,17,319263,Pcmtd1,chr1
71096,18,71096,Sntg1,chr1
59014,19,59014,Rrs1,chr1
76187,20,76187,Adhfe1,chr1
72481,21,72481,2610203C22Rik,chr1
76982,22,76982,Vxn,chr1
17864,23,17864,Mybl1,chr1
70675,24,70675,Vcpip1,chr1
73331,25,73331,1700034P13Rik,chr1
170755,26,170755,Sgk3,chr1
620986,27,620986,NA,NA
240697,28,240697,Mcmdc2,chr1
73824,29,73824,Snhg6,chr1
266793,30,266793,Snord87,chr1
100038398,31,100038398,NA,NA
100039596,32,100039596,Tcf24,chr1
69312,33,69312,Ppp1r42,chr1
26754,34,26754,Cops5,chr1
211660,35,211660,Cspp1,chr1
211673,36,211673,Arfgef1,chr1
329093,37,329093,Cpa6,chr1
109294,38,109294,Prex2,chr1
320492,39,320492,A830018L16Rik,chr1
329096,40,329096,Gm17644,chr1
240725,41,240725,Sulf1,chr1
240726,42,240726,Slco5a1,chr1
383491,43,383491,Prdm14,chr1
17978,44,17978,Ncoa2,chr1
72265,45,72265,Tram1,chr1
212442,46,212442,Lactb2,chr1
381246,47,381246,Xkr9,chr1
433273,48,433273,Gm5523,chr1
14048,49,14048,Eya1,chr1
17681,50,17681,Msc,chr1
277328,51,277328,Trpa1,chr1
98741,52,98741,Kcnb2,chr1
21749,53,21749,Terf1,chr1
226866,54,226866,Sbspon,chr1
665434,55,665434,Gm7634,NA
75799,56,75799,4930444P10Rik,chr1
19989,57,19989,Rpl7,chr1
98711,58,98711,Rdh10,chr1
29819,59,29819,Stau2,chr1
66799,60,66799,Ube2w,chr1
67923,61,67923,Eloc,chr1
329101,62,329101,D030040B21Rik,chr1
70397,63,70397,Tmem70,chr1
17087,64,17087,Ly96,chr1
57339,65,57339,Jph1,chr1
14545,66,14545,Gdap1,chr1
94227,67,94227,Pi15,chr1
83691,68,83691,Crispld1,chr1
78081,69,78081,Crisp4,chr1
654454,70,654454,Defb44-ps,chr1
654460,71,654460,Defb18,chr1
77673,72,77673,Defb41,chr1
654464,73,654464,NA,NA
226896,74,226896,Tfap2d,chr1
21419,75,21419,Tfap2b,chr1
241035,76,241035,Pkhd1,chr1
75028,77,75028,4930486I03Rik,chr1
387202,78,387202,Mir206,chr1
723817,79,723817,Mir133b,chr1
16171,80,16171,Il17a,chr1
257630,81,257630,Il17f,chr1
17215,82,17215,Mcm3,chr1
77741,83,77741,6720483E21Rik,chr1
74229,84,74229,Paqr8,chr1
