gene_id,gene_id_version,chr,start,end,strand,gene_biotype,gene_name,gene_id_short
ENSMUSG00000000001,ENSMUSG00000000001.5,chr11,117912549.0,118021460.0,-,protein_coding,Dnah17,ENSMUSG00000000001
ENSMUSG00000000003,ENSMUSG00000000003.16,chr1,184464972.0,184465646.0,+,lncRNA,Gm57121,ENSMUSG00000000003
ENSMUSG00000000028,ENSMUSG00000000028.16,chr10,90648945.0,90650251.0,+,TEC,Gm47592,ENSMUSG00000000028
ENSMUSG00000000031,ENSMUSG00000000031.19,chr4,107127631.0,107128066.0,+,processed_pseudogene,Gm12850,ENSMUSG00000000031
ENSMUSG00000000037,ENSMUSG00000000037.18,chr10,45413340.0,45413446.0,+,miRNA,Gm55152,ENSMUSG00000000037
ENSMUSG00000000049,ENSMUSG00000000049.12,chr7,70866797.0,70874157.0,+,lncRNA,6030442E23Rik,ENSMUSG00000000049
ENSMUSG00000000056,ENSMUSG00000000056.8,chrY,48224625.0,48225152.0,+,lncRNA,Gm28194,ENSMUSG00000000056
ENSMUSG00000000058,ENSMUSG00000000058.7,chr2,25733007.0,25737260.0,-,protein_coding,Sohlh1,ENSMUSG00000000058
ENSMUSG00000000078,ENSMUSG00000000078.8,chr12,114496592.0,114496884.0,-,IG_V_pseudogene,Ighv1-6,ENSMUSG00000000078
ENSMUSG00000000085,ENSMUSG00000000085.17,chr7,92292751.0,92319142.0,-,protein_coding,Pcf11,ENSMUSG00000000085
ENSMUSG00000000088,ENSMUSG00000000088.8,chr8,31639892.0,31639995.0,-,snoRNA,Snord13,ENSMUSG00000000088
ENSMUSG00000000093,ENSMUSG00000000093.7,chrY,30052545.0,30053240.0,-,unprocessed_pseudogene,Gm29317,ENSMUSG00000000093
ENSMUSG00000000094,ENSMUSG00000000094.13,chr1,65562830.0,65563234.0,-,processed_pseudogene,Gm28728,ENSMUSG00000000094
ENSMUSG00000000103,ENSMUSG00000000103.13,chr15,95777597.0,95777698.0,-,miRNA,Gm54785,ENSMUSG00000000103
ENSMUSG00000000120,ENSMUSG00000000120.7,chrY,68817865.0,68843997.0,-,protein_coding,Gm20817,ENSMUSG00000000120
ENSMUSG00000000125,ENSMUSG00000000125.6,chrY,82686996.0,82690235.0,+,lncRNA,Gm28225,ENSMUSG00000000125
ENSMUSG00000000126,ENSMUSG00000000126.12,chr4,137890520.0,137890603.0,+,miRNA,Mir6399,ENSMUSG00000000126
ENSMUSG00000000127,ENSMUSG00000000127.16,chr15,52308518.0,52313157.0,+,lncRNA,Gm41322,ENSMUSG00000000127
ENSMUSG00000000131,ENSMUSG00000000131.16,chr2,24384080.0,24385023.0,+,processed_pseudogene,Gm13418,ENSMUSG00000000131
ENSMUSG00000000134,ENSMUSG00000000134.18,chr7,59350626.0,59350719.0,-,snoRNA,Gm25155,ENSMUSG00000000134
ENSMUSG00000000142,ENSMUSG00000000142.16,chr1,105491851.0,105492303.0,-,lncRNA,Gm28404,ENSMUSG00000000142
ENSMUSG00000000148,ENSMUSG00000000148.18,chr6,128507881.0,128508363.0,-,processed_pseudogene,Gm8724,ENSMUSG00000000148
ENSMUSG00000000149,ENSMUSG00000000149.11,chr2,112461700.0,113047441.0,-,protein_coding,Ryr3,ENSMUSG00000000149
ENSMUSG00000000154,ENSMUSG00000000154.17,chr13,33870440.0,33873491.0,+,unprocessed_pseudogene,Gm11389,ENSMUSG00000000154
ENSMUSG00000000157,ENSMUSG00000000157.17,chr12,112171135.0,112171587.0,-,processed_pseudogene,Gm20368,ENSMUSG00000000157
ENSMUSG00000000159,ENSMUSG00000000159.17,chr12,87732219.0,87733073.0,-,processed_pseudogene,Gm21559,ENSMUSG00000000159
ENSMUSG00000000167,ENSMUSG00000000167.15,chr9,19348983.0,19349111.0,+,snoRNA,Gm23048,ENSMUSG00000000167
ENSMUSG00000000168,ENSMUSG00000000168.11,chr6,25078771.0,25078902.0,-,snoRNA,Gm24443,ENSMUSG00000000168
ENSMUSG00000000171,ENSMUSG00000000171.6,chr18,47118404.0,47118548.0,-,snoRNA,Gm22791,ENSMUSG00000000171
ENSMUSG00000000182,ENSMUSG00000000182.10,chr2,23211258.0,23291985.0,+,protein_coding,Nxph2,ENSMUSG00000000182
ENSMUSG00000000183,ENSMUSG00000000183.7,chr3,3856958.0,3857352.0,+,processed_pseudogene,Rps24-ps2,ENSMUSG00000000183
ENSMUSG00000000184,ENSMUSG00000000184.13,chr13,78337092.0,78347876.0,-,protein_coding,Nr2f1,ENSMUSG00000000184
ENSMUSG00000000194,ENSMUSG00000000194.14,chr17,90341059.0,91400499.0,-,protein_coding,Nrxn1,ENSMUSG00000000194
ENSMUSG00000000197,ENSMUSG00000000197.9,chr7,18227864.0,18228841.0,-,unprocessed_pseudogene,Gm45156,ENSMUSG00000000197
ENSMUSG00000000202,ENSMUSG00000000202.10,chr7,32195063.0,32195525.0,+,processed_pseudogene,Gm5116,ENSMUSG00000000202
ENSMUSG00000000204,ENSMUSG00000000204.17,chrY,2927358.0,2928252.0,+,processed_pseudogene,Gm8510,ENSMUSG00000000204
ENSMUSG00000000214,ENSMUSG00000000214.12,chr4,106114228.0,106114495.0,+,processed_pseudogene,Gm12731,ENSMUSG00000000214
ENSMUSG00000000215,ENSMUSG00000000215.12,chr7,79887428.0,79887692.0,-,processed_pseudogene,Gm15504,ENSMUSG00000000215
ENSMUSG00000000216,ENSMUSG00000000216.9,chrX,8896323.0,8896983.0,+,processed_pseudogene,Gm14865,ENSMUSG00000000216
ENSMUSG00000000223,ENSMUSG00000000223.14,chr7,140297386.0,140302025.0,+,lncRNA,ENSMUSG00000121423,ENSMUSG00000000223
ENSMUSG00000000244,ENSMUSG00000000244.18,chr4,41809083.0,41810504.0,+,unprocessed_pseudogene,Gm10601,ENSMUSG00000000244
ENSMUSG00000000247,ENSMUSG00000000247.12,chr18,52649139.0,52662939.0,-,protein_coding,Lox,ENSMUSG00000000247
ENSMUSG00000000248,ENSMUSG00000000248.17,chr10,23846604.0,23847617.0,+,protein_coding,Taar5,ENSMUSG00000000248
ENSMUSG00000000253,ENSMUSG00000000253.14,chr5,44822036.0,44824073.0,-,TEC,Gm43504,ENSMUSG00000000253
ENSMUSG00000000263,ENSMUSG00000000263.16,chr9,76897064.0,76897301.0,+,processed_pseudogene,Gm27158,ENSMUSG00000000263
ENSMUSG00000000266,ENSMUSG00000000266.12,chr5,110071544.0,110157884.0,+,protein_coding,ENSMUSG00000121597,ENSMUSG00000000266
ENSMUSG00000000275,ENSMUSG00000000275.17,chr9,84306037.0,84306834.0,+,processed_pseudogene,Gm8226,ENSMUSG00000000275
ENSMUSG00000000276,ENSMUSG00000000276.12,chr11,95896715.0,95898881.0,+,lncRNA,Gm29202,ENSMUSG00000000276
ENSMUSG00000000278,ENSMUSG00000000278.11,chr1,59418089.0,59431458.0,+,lncRNA,Gm29016,ENSMUSG00000000278
ENSMUSG00000000282,ENSMUSG00000000282.13,chr11,18702558.0,18706757.0,-,lncRNA,Gm28401,ENSMUSG00000000282
ENSMUSG00000000290,ENSMUSG00000000290.14,chr14,16727577.0,16751437.0,+,protein_coding,Gm3373,ENSMUSG00000000290
ENSMUSG00000000295,ENSMUSG00000000295.14,chr7,41371712.0,41371951.0,+,unprocessed_pseudogene,Vmn2r-ps55,ENSMUSG00000000295
ENSMUSG00000000296,ENSMUSG00000000296.9,chr9,88289485.0,88338669.0,-,protein_coding,Gm20537,ENSMUSG00000000296
ENSMUSG00000000301,ENSMUSG00000000301.17,chr19,5729032.0,5729104.0,-,miRNA,Mir6987,ENSMUSG00000000301
ENSMUSG00000000303,ENSMUSG00000000303.13,chr13,41954259.0,41955271.0,+,lncRNA,1700061E18Rik,ENSMUSG00000000303
ENSMUSG00000000305,ENSMUSG00000000305.13,chr5,123173832.0,123185079.0,-,protein_coding,Morn3,ENSMUSG00000000305
ENSMUSG00000000308,ENSMUSG00000000308.15,chr2,132623198.0,132636999.0,+,protein_coding,Chgb,ENSMUSG00000000308
ENSMUSG00000000317,ENSMUSG00000000317.12,chr11,53654424.0,53654481.0,-,miRNA,Mir7671,ENSMUSG00000000317
ENSMUSG00000000318,ENSMUSG00000000318.17,chr6,19555341.0,19555460.0,+,miRNA,Mir6370,ENSMUSG00000000318
ENSMUSG00000000320,ENSMUSG00000000320.11,chr3,139734010.0,139734131.0,+,miRNA,Mir7j,ENSMUSG00000000320
ENSMUSG00000000325,,,,,,,,
ENSMUSG00000000326,ENSMUSG00000000326.14,chr10,118068033.0,118069436.0,-,processed_pseudogene,Gm9585,ENSMUSG00000000326
ENSMUSG00000000339,ENSMUSG00000000339.15,chr8,118225030.0,118361881.0,+,protein_coding,Plcg2,ENSMUSG00000000339
ENSMUSG00000000340,ENSMUSG00000000340.11,chr15,88635863.0,88668719.0,+,protein_coding,Zbed4,ENSMUSG00000000340
ENSMUSG00000000346,ENSMUSG00000000346.10,chr9,17413264.0,17414005.0,-,processed_pseudogene,Gm2594,ENSMUSG00000000346
ENSMUSG00000000355,ENSMUSG00000000355.14,chr19,23113154.0,23113861.0,-,lncRNA,Gm56639,ENSMUSG00000000355
ENSMUSG00000000359,ENSMUSG00000000359.4,chr4,62398290.0,62415535.0,+,protein_coding,Bspry,ENSMUSG00000000359
ENSMUSG00000000365,ENSMUSG00000000365.10,chr7,97303483.0,97303960.0,-,processed_pseudogene,Gm45186,ENSMUSG00000000365
ENSMUSG00000000374,ENSMUSG00000000374.9,chr3,64384439.0,64386740.0,+,unprocessed_pseudogene,Vmn2r-ps8,ENSMUSG00000000374
ENSMUSG00000000378,ENSMUSG00000000378.16,chr3,96309697.0,96310264.0,+,lncRNA,Gm26654,ENSMUSG00000000378
ENSMUSG00000000381,ENSMUSG00000000381.11,chr10,84454205.0,84458442.0,-,lncRNA,Gm17249,ENSMUSG00000000381
ENSMUSG00000000384,ENSMUSG00000000384.16,chr3,37788879.0,37789253.0,+,processed_pseudogene,Rpl31-ps15,ENSMUSG00000000384
ENSMUSG00000000385,ENSMUSG00000000385.9,chr13,48916526.0,48917057.0,-,processed_pseudogene,Rpl17-ps6,ENSMUSG00000000385
ENSMUSG00000000386,ENSMUSG00000000386.19,chr12,66529280.0,66530930.0,+,processed_pseudogene,Gm19001,ENSMUSG00000000386
ENSMUSG00000000392,ENSMUSG00000000392.18,chr19,55169165.0,55184745.0,+,protein_coding,Tectb,ENSMUSG00000000392
ENSMUSG00000000394,ENSMUSG00000000394.16,chr19,55055700.0,55115670.0,-,protein_coding,Gpam,ENSMUSG00000000394
ENSMUSG00000000399,ENSMUSG00000000399.11,chr3,31257007.0,31364527.0,-,protein_coding,Slc7a14,ENSMUSG00000000399
ENSMUSG00000000402,ENSMUSG00000000402.3,chr19,41733243.0,41733492.0,+,misc_RNA,Gm54905,ENSMUSG00000000402
ENSMUSG00000000409,ENSMUSG00000000409.15,chr13,93810941.0,93889341.0,+,protein_coding,Dmgdh,ENSMUSG00000000409
ENSMUSG00000000411,ENSMUSG00000000411.8,chr13,93908138.0,94079524.0,+,protein_coding,Arsb,ENSMUSG00000000411
ENSMUSG00000000416,ENSMUSG00000000416.17,chr13,108807137.0,108807931.0,+,processed_pseudogene,Rps3a3,ENSMUSG00000000416
ENSMUSG00000000420,ENSMUSG00000000420.16,chr16,16197076.0,16198072.0,+,processed_pseudogene,Gm18869,ENSMUSG00000000420
ENSMUSG00000000435,ENSMUSG00000000435.2,chr7,22263848.0,22264768.0,-,protein_coding,Vmn1r256,ENSMUSG00000000435
ENSMUSG00000000439,ENSMUSG00000000439.10,chr5,73763985.0,73789869.0,-,protein_coding,Lrrc66,ENSMUSG00000000439
ENSMUSG00000000440,ENSMUSG00000000440.13,chr17,38024443.0,38024815.0,-,processed_pseudogene,Gm7335,ENSMUSG00000000440
ENSMUSG00000000441,ENSMUSG00000000441.18,chrX,151789465.0,151792412.0,+,protein_coding,Usp51,ENSMUSG00000000441
ENSMUSG00000000486,ENSMUSG00000000486.14,chrX,93651825.0,93652302.0,-,processed_pseudogene,Gm5401,ENSMUSG00000000486
ENSMUSG00000000489,ENSMUSG00000000489.8,chr8,94090251.0,94157677.0,+,lncRNA,Gm45765,ENSMUSG00000000489
ENSMUSG00000000530,ENSMUSG00000000530.17,chr10,43621805.0,43641832.0,+,lncRNA,1700027J07Rik,ENSMUSG00000000530
ENSMUSG00000000531,ENSMUSG00000000531.6,chr9,122771595.0,122771756.0,+,transcribed_processed_pseudogene,Gm47146,ENSMUSG00000000531
ENSMUSG00000000532,ENSMUSG00000000532.12,chr9,22140274.0,22142598.0,+,TEC,Gm48478,ENSMUSG00000000532
ENSMUSG00000000538,ENSMUSG00000000538.19,chr8,123856845.0,123856911.0,+,miRNA,Mir7080,ENSMUSG00000000538
ENSMUSG00000000544,ENSMUSG00000000544.15,chr12,87351832.0,87435129.0,-,protein_coding,Sptlc2,ENSMUSG00000000544
ENSMUSG00000000552,ENSMUSG00000000552.11,chr10,40951364.0,40977790.0,+,lncRNA,Gm32284,ENSMUSG00000000552
ENSMUSG00000000555,ENSMUSG00000000555.9,chr9,122516133.0,122543398.0,-,lncRNA,Gm47136,ENSMUSG00000000555
ENSMUSG00000000560,ENSMUSG00000000560.10,chr5,41918826.0,41921844.0,-,protein_coding,Nkx3-2,ENSMUSG00000000560
ENSMUSG00000000561,ENSMUSG00000000561.15,chr1,6557455.0,6931164.0,+,protein_coding,St18,ENSMUSG00000000561
ENSMUSG00000000562,ENSMUSG00000000562.6,chr12,99307290.0,99328086.0,+,lncRNA,3300002A11Rik,ENSMUSG00000000562
ENSMUSG00000000563,ENSMUSG00000000563.18,chr17,34863738.0,34865298.0,+,protein_coding,Fkbpl,ENSMUSG00000000563
ENSMUSG00000000567,ENSMUSG00000000567.6,chrY,84004921.0,84005616.0,-,unprocessed_pseudogene,Gm21717,ENSMUSG00000000567
ENSMUSG00000000568,ENSMUSG00000000568.16,chr10,77733409.0,77738370.0,-,protein_coding,Lrrc3,ENSMUSG00000000568
ENSMUSG00000000579,ENSMUSG00000000579.15,chr13,13648928.0,13656990.0,-,lncRNA,Gm48682,ENSMUSG00000000579
ENSMUSG00000000581,ENSMUSG00000000581.9,chr12,58999875.0,59014797.0,+,lncRNA,Gm17529,ENSMUSG00000000581
ENSMUSG00000000594,ENSMUSG00000000594.8,chr7,14571699.0,14571954.0,-,unprocessed_pseudogene,Gtpbp4-ps2,ENSMUSG00000000594
ENSMUSG00000000600,ENSMUSG00000000600.16,chrX,59934972.0,59937036.0,-,protein_coding,Sox3,ENSMUSG00000000600
ENSMUSG00000000605,ENSMUSG00000000605.10,chrX,75428942.0,75441586.0,+,protein_coding,Cldn34b4,ENSMUSG00000000605
ENSMUSG00000000606,ENSMUSG00000000606.20,chr6,102150991.0,102154073.0,-,TEC,Gm44189,ENSMUSG00000000606
ENSMUSG00000000617,ENSMUSG00000000617.15,chr6,84789222.0,84790229.0,+,processed_pseudogene,Gm7507,ENSMUSG00000000617
ENSMUSG00000000627,ENSMUSG00000000627.16,chr13,35846118.0,35846259.0,+,snRNA,Gm22126,ENSMUSG00000000627
ENSMUSG00000000628,ENSMUSG00000000628.11,chrX,9184058.0,9184215.0,+,snRNA,Gm25481,ENSMUSG00000000628
ENSMUSG00000000631,ENSMUSG00000000631.21,chr1,80162436.0,80169790.0,+,lncRNA,9830004L10Rik,ENSMUSG00000000631
ENSMUSG00000000632,ENSMUSG00000000632.14,chr1,130667655.0,130691877.0,-,lncRNA,Gm28857,ENSMUSG00000000632
ENSMUSG00000000673,ENSMUSG00000000673.10,chr14,78436813.0,78437209.0,+,processed_pseudogene,Gm48959,ENSMUSG00000000673
ENSMUSG00000000682,ENSMUSG00000000682.8,chr15,79575046.0,79605680.0,+,protein_coding,Gtpbp1,ENSMUSG00000000682
ENSMUSG00000000686,ENSMUSG00000000686.12,chrY,43096647.0,43127121.0,-,unprocessed_pseudogene,Gm28504,ENSMUSG00000000686
ENSMUSG00000000690,ENSMUSG00000000690.6,chr13,42202810.0,42203763.0,+,lncRNA,Gm28707,ENSMUSG00000000690
ENSMUSG00000000693,ENSMUSG00000000693.11,chr1,52483595.0,52483703.0,-,snRNA,Gm23460,ENSMUSG00000000693
ENSMUSG00000000701,ENSMUSG00000000701.9,chr1,171506904.0,171507438.0,-,processed_pseudogene,Gm37981,ENSMUSG00000000701
ENSMUSG00000000706,ENSMUSG00000000706.17,chr12,114610192.0,114610676.0,-,IG_V_pseudogene,Ighv1-14,ENSMUSG00000000706
ENSMUSG00000000708,ENSMUSG00000000708.15,chr15,32619890.0,32623651.0,-,lncRNA,4930465K09Rik,ENSMUSG00000000708
ENSMUSG00000000711,ENSMUSG00000000711.4,chr14,18972203.0,18973406.0,+,processed_pseudogene,Gm8324,ENSMUSG00000000711
ENSMUSG00000000724,ENSMUSG00000000724.11,chrY,70015477.0,70026168.0,-,transcribed_unprocessed_pseudogene,Gm28079,ENSMUSG00000000724
ENSMUSG00000000730,ENSMUSG00000000730.14,chr13,89725275.0,89726538.0,-,processed_pseudogene,Gm8546,ENSMUSG00000000730
ENSMUSG00000000731,ENSMUSG00000000731.16,chr9,37937104.0,37938033.0,+,protein_coding,Or8b36,ENSMUSG00000000731
ENSMUSG00000000732,ENSMUSG00000000732.10,chr2,36308959.0,36316135.0,+,protein_coding,Or1j11,ENSMUSG00000000732
ENSMUSG00000000738,ENSMUSG00000000738.19,chr5,115191528.0,115191899.0,-,processed_pseudogene,Gm13827,ENSMUSG00000000738
ENSMUSG00000000739,ENSMUSG00000000739.15,chr19,8565771.0,8566560.0,-,processed_pseudogene,Gm6425,ENSMUSG00000000739
ENSMUSG00000000740,ENSMUSG00000000740.13,chr14,46674312.0,46691992.0,+,lncRNA,Gm15221,ENSMUSG00000000740
ENSMUSG00000000743,ENSMUSG00000000743.10,chr2,174698082.0,174708324.0,+,lncRNA,Gm14616,ENSMUSG00000000743
ENSMUSG00000000751,ENSMUSG00000000751.14,chr2,116803056.0,116806909.0,-,lncRNA,Gm29340,ENSMUSG00000000751
ENSMUSG00000000753,ENSMUSG00000000753.16,chr1,18063234.0,18069846.0,-,transcribed_unprocessed_pseudogene,Gm18775,ENSMUSG00000000753
ENSMUSG00000000759,ENSMUSG00000000759.15,chr13,23029164.0,23030203.0,-,unprocessed_pseudogene,Vmn1r-ps114,ENSMUSG00000000759
ENSMUSG00000000766,ENSMUSG00000000766.19,chr14,42379008.0,42381972.0,+,unprocessed_pseudogene,Gm8032,ENSMUSG00000000766
ENSMUSG00000000776,ENSMUSG00000000776.14,chr7,21187253.0,21201364.0,+,unprocessed_pseudogene,Gm4541,ENSMUSG00000000776
ENSMUSG00000000782,ENSMUSG00000000782.17,chr3,79580674.0,79584183.0,-,lncRNA,Gm26984,ENSMUSG00000000782
ENSMUSG00000000787,ENSMUSG00000000787.13,chr7,59431528.0,59431621.0,-,snoRNA,Gm22631,ENSMUSG00000000787
ENSMUSG00000000791,ENSMUSG00000000791.10,chr13,30332181.0,30332364.0,-,snRNA,Gm23206,ENSMUSG00000000791
ENSMUSG00000000792,ENSMUSG00000000792.3,chr2,180825305.0,180825408.0,+,snRNA,Gm24892,ENSMUSG00000000792
ENSMUSG00000000794,ENSMUSG00000000794.10,chr9,44158604.0,44162768.0,-,protein_coding,Nherf4,ENSMUSG00000000794
ENSMUSG00000000804,ENSMUSG00000000804.15,chr17,11117882.0,11118101.0,+,processed_pseudogene,Gm3145,ENSMUSG00000000804
ENSMUSG00000000805,ENSMUSG00000000805.19,chr1,31203630.0,31203854.0,+,processed_pseudogene,Gm7893,ENSMUSG00000000805
ENSMUSG00000000811,ENSMUSG00000000811.15,chr18,61780896.0,61780965.0,-,miRNA,Mir145a,ENSMUSG00000000811
ENSMUSG00000000817,ENSMUSG00000000817.11,chr11,70404342.0,70405442.0,-,protein_coding,Vmo1,ENSMUSG00000000817
ENSMUSG00000000823,ENSMUSG00000000823.17,chr5,145020640.0,145045571.0,+,protein_coding,Arpc1a,ENSMUSG00000000823
ENSMUSG00000000826,ENSMUSG00000000826.17,chr5,143924727.0,143951695.0,-,protein_coding,Ccz1,ENSMUSG00000000826
ENSMUSG00000000827,ENSMUSG00000000827.19,chr5,121342544.0,121347304.0,+,protein_coding,Rpl6,ENSMUSG00000000827
ENSMUSG00000000838,ENSMUSG00000000838.18,chr11,49603766.0,49605529.0,+,lncRNA,Gm36411,ENSMUSG00000000838
ENSMUSG00000000861,ENSMUSG00000000861.16,chr18,4373669.0,4379985.0,-,lncRNA,Gm26865,ENSMUSG00000000861
ENSMUSG00000000869,ENSMUSG00000000869.13,chr14,32619676.0,32620686.0,+,processed_pseudogene,Gm7734,ENSMUSG00000000869
ENSMUSG00000000876,ENSMUSG00000000876.12,chr4,83335961.0,83385913.0,+,protein_coding,Snapc3,ENSMUSG00000000876
ENSMUSG00000000881,ENSMUSG00000000881.13,chr17,32088165.0,32090010.0,-,lncRNA,Gm30509,ENSMUSG00000000881
ENSMUSG00000000884,ENSMUSG00000000884.18,chr12,7920535.0,8000194.0,-,lncRNA,Gm48633,ENSMUSG00000000884
ENSMUSG00000000889,ENSMUSG00000000889.9,chr17,23898223.0,23901420.0,+,protein_coding,Cldn6,ENSMUSG00000000889
ENSMUSG00000000901,ENSMUSG00000000901.18,chr9,39298706.0,39306929.0,+,protein_coding,Or8g32,ENSMUSG00000000901
ENSMUSG00000000902,ENSMUSG00000000902.14,chr12,113423484.0,113423512.0,-,IG_D_gene,Ighd5-8,ENSMUSG00000000902
ENSMUSG00000000903,ENSMUSG00000000903.4,chrX,169314882.0,169315253.0,-,processed_pseudogene,Gm15068,ENSMUSG00000000903
ENSMUSG00000000915,ENSMUSG00000000915.16,chr2,36795692.0,36806050.0,+,protein_coding,Or1n2,ENSMUSG00000000915
ENSMUSG00000000916,ENSMUSG00000000916.16,chr11,4570275.0,4580011.0,-,lncRNA,Gm11961,ENSMUSG00000000916
